GENUS$,SPECIES$,FAMILY$,GRWFRM2$,GRWFRM1$,SP$,SG60C_AVG,SG100C_AVG,SG60C_SEM,SG100C_SEM,SG60C_N,SG100C_N,WSG_CHAVE,FRUIT_FRSH,FRUIT_DRY,N_SEEDFULL,N_SEEDEMPTY,DSPR_FRESH,DSPR_DRY,SEED_FRESH,SEED_DRY,N_INDS,N_FRUIT,N_DIASPORE,N_SEEDS,DAWS_DSPRDRY,DBH_AVG,HEIGHT_AVG,DIAM_AVG,DBH_SEM,HEIGHT_SEM,DIAM_SEM,DBH_N,HEIGHT_N,DIAM_N,LEAFAREA_AVD,LEAFLET_AVD,LEAFTHCK_AVD,LMADISC_AVD,LMALEAF_AVD,LMALAM_AVD,LDDISC_AVD,LDMC_AVD,LEAFAREA_SED,LEAFLET_SED,LEAFTHCK_SED,LMADISC_SED,LMALEAF_SED,LMALAM_SED,LDDISC_SED,LDMC_SED,LEAFAREA_ND,LEAFLET_ND,LEAFTHCK_ND,LMADISC_ND,LMALEAF_ND,LMALAM_ND,LDDISC_ND,LDMC_ND,LEAFAREA_AVI,LEAFLET_AVI,LEAFTHCK_AVI,LMADISC_AVI,LMALEAF_AVI,LMALAM_AVI,LDDISC_AVI,LDMC_AVI,LEAFAREA_SEI,LEAFLET_SEI,LEAFTHCK_SEI,LMADISC_SEI,LMALEAF_SEI,LMALAM_SEI,LDDISC_SEI,LDMC_SEI,LEAFAREA_NI,LEAFLET_NI,LEAFTHCK_NI,LMADISC_NI,LMALEAF_NI,LMALAM_NI,LDDISC_NI,LDMC_NI,AVG_LAMTUF,AVG_VEINTUF,SEM_LAMTUF,SEM_VEINTUF,N_LAMTUF,N_VEINTUF,RGR_10,N_RGR10,RGR_50,N_RGR50,RGR_100,N_RGR100,MORT_10,N_MORT10,MORT_100,N_MORT100
Conostegia,cinnamomea,Melastomatac,S,S,CONOCI,0.615361729,0.606171815,0.003832436,0.002908342,3,2,,,,,,,,,,,,,,,17.66666667,3.211666667,1.0975,0.614636297,0.153371372,0.10479643,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,40.22458333,,206.25,38.99752753,40.72721436,39.79405448,0.197172849,0.267091353,11.36817853,,23.84726671,0.943630907,1.578256929,1.490573964,0.024424339,0.005151214,4,0,4,4,4,4,4,4,234.3666667,1190.616667,36.65539221,301.8863047,6,6,2.142055453,541,1.369,1,,0,11.60133247,1155,,0
Conostegia,rufescens,Melastomatac,T,T,CONORU,0.385307591,0.378417194,0.013141986,0.013996363,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conostegia,xalapensis,Melastomatac,U,U,CONOXA,0.604048408,0.592810011,0.005191577,0.005063564,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copaifera,aromatica,Fabaceae:Cae,T,T,COPAAR,0.59383413,0.583740456,0.013585083,0.013916607,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordia,alliodora,Boraginaceae,T,T,CORDAL,0.455564769,0.455437259,0.03011153,0.017274432,3,5,0.425044,0.014392,0.011164,1,0,0.010126667,0.007966667,0.006928333,0.005605,6,25,35,35,0.006,525.4,31.60068879,5.651607143,34.50159417,1.606821802,0.171355732,5,5,4,26.495,,252.5,74.96066532,80.82214679,77.97443508,0.297301316,0.361582694,4.758333333,,12.62896436,4.229512733,2.984980554,2.807531,0.005625629,0.003250556,2,0,4,4,2,2,4,2,26.73,,184.1666667,30.45628231,30.34579069,29.25376571,0.178527013,0.230891135,10.56666667,,44.16666667,1.910541695,0.775840798,0.958200374,0.051177573,0.011076257,2,0,2,2,2,2,2,2,286.9,2086.9,38.59685364,270.1214969,10,10,4.253735537,121,2.95965,40,1.464724806,258,6.664794118,238,2.227943709,302
Cordia,bicolor,Boraginaceae,T,T,CORDBI,0.380956664,0.373401035,0.023063905,0.02195024,5,5,0.475,0.672855,0.22452,1,0,0.156991667,0.11114625,0.029638333,0.01621625,4,17,17,17,,453,24.79738584,4.387281746,8.841191473,2.566944533,0.132637126,4,4,3,41.85833333,,274.5833333,101.5115756,114.1358368,111.7091781,0.368452473,0.441703676,10.32618288,,35.89868072,13.52571679,24.05126746,23.61315141,0.009333573,0.020260638,3,0,4,4,3,3,4,3,60.44833333,,182.7083333,41.80714767,43.20265974,42.0059113,0.222138593,0.321974605,18.66492157,,16.11365521,8.014200332,8.626231505,8.368486806,0.030324003,0.045460865,4,0,4,4,4,4,4,4,505.6083333,2707.816667,52.93185507,246.536903,12,12,2.970141989,1317,2.252084871,542,1.082535361,1315,6.785034335,2796,1.844181129,1452
Cordia,cymosa,Boraginaceae,M,M,CORDCY,0.297947161,0.2864365,0.029540892,0.032247594,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordia,eriostigma,Boraginaceae,T,T,CORDER,0.330718424,0.319931171,0.021844671,0.019761731,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordia,lasiocalyx,Boraginaceae,M,M,CORDLA,,,,,,,0.39744,0.713983333,0.214695833,1,0,0.366491667,0.161575,0.047775,0.042325,6,29,29,4,,182.5,13.87441039,2.239151786,3.523729085,0.542200821,0.32151817,4,4,4,36.035,,205,74.84828051,73.99844488,71.75050072,0.366863974,0.394440045,0.583230943,,27.42413779,8.939361823,9.150745182,8.745493401,0.01165392,0.024283328,3,0,3,3,3,3,3,3,43.5147619,,176.9047619,60.4630254,61.95821733,60.52878059,0.333226857,0.358542993,4.52981562,,15.00519562,8.502463287,8.516910491,8.313708595,0.026578203,0.020118864,7,0,7,7,7,7,7,7,417.6357143,2527.4,27.94774285,193.6311842,14,14,2.643340239,2848,1.024661814,1786,0.484812696,1591,3.074384563,5908,3.892699492,1970
Cordia,panamensis,Boraginaceae,U,U,CORDPA,0.403499035,0.399348969,0.029589792,0.029348964,5,5,,,,,,,,,,,,,,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmibuena,macrocarpa,Rubiaceae,M,M,COSMMA,0.503131001,0.497091347,0.021141082,0.020534314,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coussarea,curvigemmia,Rubiaceae,U,U,COU2CU,0.647775456,0.622066058,0.017044087,0.016189368,4,5,,0.627166,0.15639,1,0,0.065632,0.026187,0.042151,0.018453,5,22,88,88,,153,12.895,2.541388889,5.830951895,1.085468409,0.146583257,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,45.05216667,,193,45.34726905,50.03309915,49.3674107,0.234458645,0.238512836,6.1033512,,6.366143085,3.094167306,3.261942762,3.223341642,0.0124678,0.01119624,10,0,10,10,10,10,10,10,207.3,2310.592857,14.35745011,175.3835143,14,14,2.187071266,6581,1.029970752,1436,0.660625551,227,1.23178608,8994,2.483845283,265
Coussarea,latifolia,Rubiaceae,U,U,COU2LA,0.483326755,0.47156148,0.017171248,0.018567613,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Couratari,guianensis,Lecythidacea,T,T,COURPA,0.528960936,0.517424904,0.024208669,0.02352055,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coutarea,hexandra,Rubiaceae,T,U,COUTHE,0.622825703,0.612656967,0.013212283,0.012779803,7,7,0.602,,,,,,,,,,,,,0.005,78,9.55517093,2.200059524,38.31448812,3.621956867,0.825101367,3,3,3,83.73,,210,65.40795684,69.13205134,67.24535343,0.311466461,0.308255764,,,,,,,,,1,0,1,1,1,1,1,1,81.825,,135,27.81523938,30.61742783,29.60047891,0.204595495,0.220184386,0.82,,10,3.877275792,5.631661042,5.507309336,0.013973575,0.017991325,2,0,2,2,2,2,2,2,208.45,1367.3,34.52536507,176.2678312,4,4,9.232,2,1.626857143,7,5.952,1,0,9,0,1
Crateva,tapia,Capparaceae,M,M,CRATTA,0.471905762,0.464226142,0.011459771,0.010358243,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croton,billbergianu,Euphorbiacea,U,U,CROTBI,0.48849589,0.478425261,0.026208357,0.025724051,5,5,,,,,,,,,,,,,,,206,20.49815256,3.943125,5.196152423,3.363719091,0.256875,3,3,2,144.9541667,,282.5,56.97909643,64.73318239,58.78586181,0.203391609,0.30064888,34.60083333,,17.5,0.337154417,5.548898338,3.81837289,0.009184563,0.019288612,2,0,2,2,2,2,2,2,112.8133333,,193.3333333,34.95167453,39.25597661,35.06797515,0.181639611,0.21716212,15.88,,6.666666667,5.731625084,7.472746949,5.478649916,0.035099531,0.006310374,2,0,2,2,2,2,2,2,262.5166667,2122.016667,28.59260297,295.0933337,6,6,6.879616438,803,3.810214076,341,2.456084577,201,19.11531766,2786,13.69971576,387
Croton,draco,Euphorbiacea,M,M,CROTDR,0.434009785,0.429443215,0.018351066,0.017935567,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptocarya,aschersonian,Lauraceae,NULL,,CRYPAS,0.652818614,0.640339637,0.010722651,0.009833974,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cupania,cinerea,Sapindaceae,M,M,CUPACI,0.505577624,0.500160142,0.018123181,0.017603978,5,5,,5.81853,2.66731,2.5,0,0.4060575,0.2226625,0.315865,0.166655,2,10,40,40,0.51,50.5,8.324898624,1.077172619,19.96037742,3.181399312,0.338567914,4,4,4,825.785,5,215,72.4881996,92.19020912,80.32825557,0.337154417,0.354864883,,,,,,,,,1,1,1,1,1,1,1,1,890.7633333,6,222.5,69.79096426,89.25262633,74.57414618,0.313272686,0.355185431,120.9697062,0.605530071,12.07614729,7.038914369,6.428364726,6.604811145,0.024674988,0.016283949,6,6,6,6,6,6,6,6,504.5916667,2640.916667,32.76494213,191.7201357,12,12,3.0875,16,0.814333333,12,1.862,3,2.935025641,39,0,4
Cupania,latifolia,Sapindaceae,T,T,CUPALA,0.564417435,0.55386457,0.013302039,0.012500192,7,7,,1.35472,0.57862,2.2,0,0.251953333,0.12613,0.18114,0.086303333,1,5,11,11,,297,17.81993805,4.934071429,42.75010443,0.983970444,0.619608702,7,6,5,358.8416667,6.222222222,247.7777778,94.8153143,112.1325469,96.98730498,0.383512748,0.428930858,71.48662464,0.400616808,11.39904696,13.18568564,11.75110671,10.99316288,0.047608582,0.041269406,3,3,3,3,3,3,3,3,651.3391667,6.895833333,219.6875,70.38098449,92.17024699,75.74117616,0.317297504,0.379268444,97.09246523,0.594232782,7.416762807,6.515195214,7.635422393,7.086994368,0.021988106,0.016832045,8,8,8,8,8,8,8,8,535.3545455,3336.772727,42.59298355,339.0460961,11,11,2.982929825,114,1.694129032,31,2.126093023,43,2.69934555,191,0.85086,50
Cupania,rufescens,Sapindaceae,T,T,CUPARU,0.616405228,0.60424764,0.019793481,0.019934691,7,7,,1.879767037,0.898965185,2.133333333,0.718518519,0.444165926,0.227695247,0.602953333,0.139102222,3,20,43,27,,105.2,13.40174175,2.31172619,25.54877688,1.059465241,0.470973619,5,5,5,755.4,7.5,237.5,101.146325,124.2980903,107.7574488,0.425563797,0.452704754,,,,,,,,,1,1,1,1,1,1,1,1,746.7542593,8.703703704,228.9814815,64.5838016,85.78945211,68.77773031,0.288074687,0.368286815,146.8999288,0.375542589,19.49585356,8.349463303,8.037633786,7.876931847,0.027666972,0.009071105,9,9,9,9,9,9,9,9,558.5066667,2753.893333,20.85481209,141.8846478,15,15,2.665602888,277,2.179958333,24,1.971777778,18,0.36831941,407,3.406782609,23
Cupania,seemannii,Sapindaceae,U,U,CUPASY,0.76093326,0.66539857,,0.034770539,1,4,,1.887884,0.47078,1.48,0.92,0.353484667,0.221722,0.237644,0.120431333,5,25,37,37,,109.8,12.95748178,3.126642857,15.77149327,1.048723346,0.273221232,5,5,5,308.88,5.5,125,43.83007417,55.20815822,46.24760213,0.350986393,0.381741103,,,,,,,,,1,1,1,1,1,1,1,1,557.3718333,6.066666667,183.8333333,54.78759272,70.75877486,58.16307259,0.310885117,0.399142761,71.95277943,0.471535448,14.55152616,4.548531175,4.578385028,4.496910411,0.017197635,0.007087216,10,10,10,10,10,10,10,10,534.4875,3774.35,35.53517609,187.4290735,16,16,2.042653908,3736,1.348207752,645,0.740713376,157,0.285025723,5326,0.160601036,193
Cydista,aequinoctial,Bignoniaceae,Climber,Climber,CYDIAE,,0.446565066,,0.028015316,0,5,,13.6316,12.2515,21,5,0.1723125,0.116135,0.0730125,0.0675475,2,1,14,14,0.112,,,,,,,,,,119.4817222,,212.6666667,,84.23046824,,,,15.21589287,,12.57864151,,10.32241321,,,,6,0,5,0,6,0,0,0,99.63333333,2,186.6666667,80.6922904,93.1347622,84.84156223,0.430743472,0.511922994,,,,,,,,,1,1,1,1,1,1,1,1,521.8,4206.2,,,1,1,,,,,,,,,,
Cymbopetalum,lanugipetalu,Annonaceae,S,S,CYM1LA,,,,,,,,0.59758,0.28802,1,0,0.38916,0.24216,0.3678,0.22806,1,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cymbosema,roseum,Fabaceae:fab,Climber,Climber,CYMBRO,,,,,,,,12.45754,9.55629,5.1,0,0.776435,0.566915,0.65233,0.500355,2,10,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solanum,circinatum,Solanaceae,"S,T",,CYPHHA,,,,,,,,,,,,,,,,,,,,,33.2,5.256,0.94525,7.559100476,0.963475999,0.232080738,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,156.6046667,,235,43.85255114,46.81621157,43.37959528,0.183079361,0.206911549,55.42885437,,14.40486029,6.170775307,6.064743365,5.970987342,0.016989068,0.020123985,5,0,5,5,5,5,5,5,213.2888889,2242.577778,26.02059251,365.9866439,9,9,28.628,1,,0,,0,26.188,13,,0
Dalbergia,retusa,Fabaceae:Pap,T,T,DALBRE,0.876318561,0.865622547,0.009517314,0.011161444,6,6,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daphnopsis,americana,Thymelaeacea,M,M,DAPHAM,0.341268167,0.322255593,0.02443964,0.033869905,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davilla,nitida,Dilleniaceae,Climber,Climber,DAVINI,0.453567901,0.49861293,,0.042263237,1,5,,0.12688,0.053026667,1,0,0.05288,0.0272,0.0278,0.01248,3,15,15,15,,,,,,,,,,,30.20019048,,218,71.36435154,101.3507555,68.13607447,0.387901626,0.377968785,5.538067636,,19.79337712,12.69948303,9.921237213,11.99574962,0.012402348,0.002620815,7,0,5,2,7,2,2,2,60.925,,177.5,58.66486851,59.65624617,58.85438743,0.33045421,0.318674391,,,,,,,,,1,0,1,1,1,1,1,1,560.2,2953.05,52.68526043,88.19880479,4,4,,,,,,,,,,
Dendropanax,arboreus,Araliaceae,T,T,DENDAR,0.416795587,0.411094288,0.013057172,0.01235645,5,5,0.418735,0.2872825,0.0902625,3.975,1.075,0.018609375,0.009696458,0.014401667,0.00598,4,35,110,33,0.008,546,24.49651032,6.47,48.98469149,2.98041996,0.933985644,5,5,5,26.82666667,,263.3333333,96.08900877,97.09234149,93.21480208,0.365932663,0.364441002,4.24,,5,7.305012362,3.889186493,3.70667339,0.034480443,0.012097541,2,0,2,2,2,2,2,2,112.1585714,,249.4791667,65.46414925,75.63697848,66.73576828,0.260247876,0.256135146,25.98004502,,11.49419442,5.336038549,5.205700053,5.63974505,0.013112075,0.010901773,7,0,8,8,7,7,8,7,333.8105263,3469.194737,21.23990905,182.6106825,19,19,2.560783784,74,1.35072,100,0.650636364,407,5.027434978,223,2.422161638,464
Desmoncus,orthacanthos,Arecaceae,Climber,Climber,DES1OR,,,,,,,,1.270394,0.491848,1,0,0.610126,0.365382,0.42134,0.24786,5,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmopsis,panamensis,Annonaceae,U,U,DES2PA,0.573008995,0.536031328,0.022004513,0.02563082,3,5,0.764118,3.062733639,0.892389806,4.916666667,0.54,0.233382891,0.131922102,0.180868261,0.108016746,10,61,233,139,,112.1666667,10.85166667,2.23375,4.392544188,0.812672204,0.135213566,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,73.54466667,,221.25,57.226343,60.20242918,58.92791185,0.260856395,0.33606704,7.049777822,,8.822014061,3.597788527,3.362698204,3.293006063,0.013949359,0.009060884,10,0,10,10,10,10,10,10,484.79375,3173.96875,19.65257928,150.6344993,16,16,1.85031844,45390,0.786316346,4258,0.4746,45,2.51115719,58916,7.539485714,70
Dialium,guianense,Fabaceae:Cae,T,T,DIALGU,0.80274112,,,,1,0,,0.62758,0.44289,1,0,0.26231,0.2018,0.13039,0.09508,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diospyros,artanthifoli,Ebenaceae,M,M,DIO2AR,0.6539802,0.640629878,0.018626851,0.01814815,9,9,,,,,,,,,,,,,,,179.4,18.0911718,2.5616,13.16282644,2.299928747,0.323029552,5,5,5,32.34,,280,138.9076197,144.0618954,142.0809205,0.494838944,0.494816898,,,,,,,,,1,0,1,1,1,1,1,1,35.36375,,192.0833333,79.30152843,79.15106244,77.58785723,0.4140813,0.415715672,4.480522915,,10.66606211,6.50265799,5.968040309,5.924645272,0.025843171,0.013848464,8,0,8,8,8,8,8,8,272.1266667,2730.84,22.49176244,142.3455781,15,15,2.692844221,199,1.71832,50,0.764921875,64,0.661229091,275,0.925720588,68
Dioclea,guianensis,Fabaceae,Climber,Climber,DIOCGU,,,,,,,,11.5047,2.0455,5,0,0.691975,0.511375,0.597425,0.446725,1,1,4,4,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dioclea,reflexa,Fabaceae,Climber,Climber,DIOCRE,,,,,,,,1.40794,0.91707,3.5,0,0.2671125,0.166835833,0.2100125,0.127685,2,10,34,34,4.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dioclea,wilsonii,Fabaceae,Climber,Climber,DIOCWI,,0.342365495,,,0,1,,36.00404,29.112704,2.32,0.6,6.736360333,5.628548,3.898873,3.333051333,5,25,57,56,,,,,,,,,,,113.3466667,,206.6666667,,81.35279879,,,,,,,,,,,,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diphysa,americana,Fabaceae:Pap,T,T,DIPHRO,0.725177918,0.709153343,0.036675304,0.037550351,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dipteryx,oleifera,Fabaceae:Pap,T,T,DIPTPA,0.906942205,0.877632683,0.059507267,0.070108878,4,4,0.84832,23.94240078,17.77074844,1,0,13.27806591,10.76818597,1.743359286,1.191647857,11,55,61,36,6.127,1335.666667,43.3935854,14.28998214,130.5931766,3.026362081,1.084702564,6,6,6,232.0066667,11,201.9444444,79.21255713,121.3891726,94.89782997,0.396985054,0.400020681,,,8.651339724,4.432334454,,,0.026593563,,1,1,6,6,1,1,6,1,798.11875,11.625,158.125,34.81119353,50.95065118,37.3710318,0.219709284,0.309373479,355.4121245,0.898494111,7.024881375,5.99556085,9.837852693,5.839311033,0.032268909,0.018275748,4,4,4,4,4,4,4,4,380.5666667,4026.872222,20.4247127,284.7765886,18,18,1.812981481,54,1.034571429,14,1.170776699,103,3.932266667,90,0.129036145,166
Doliocarpus,dentatus,Dilleniaceae,Climber,Climber,DOLIDE,0.452488774,0.443362927,0.013073314,0.00949885,4,5,,0.16882,0.0483,1,0,0.03646,0.01044,0.01882,0.00338,1,5,5,5,,,,,,,,,,,64.34666667,,263.3333333,,105.6535464,,,,,,,,,,,,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doliocarpus,major,Dilleniaceae,Climber,Climber,DOLIMA,0.563436508,0.458365725,,0.034031234,1,5,,0.894989091,0.229116364,1.872727273,0.072727273,0.124407273,0.054894773,0.043028333,0.0306,11,55,102,57,,,,,,,,,,,46.46361111,,250.6944444,79.90559676,83.64287556,79.57529837,0.334756874,0.35593747,4.261513781,,14.99138127,,6.145629824,,,,6,0,6,1,6,1,1,1,31.93833333,,212.7083333,68.21757698,72.1500615,69.39979992,0.313062541,0.336798173,2.9907415,,18.13457601,12.70271493,10.95057465,10.72422483,0.031146737,0.020140706,4,0,4,4,4,4,4,4,358.4833333,2898.4,29.92298355,179.8462288,6,6,,,,,,,,,,
Doliocarpus,multiflorus,Dilleniaceae,Climber,Climber,DOLIMU,0.630033408,0.61077951,,,1,1,,0.865537143,0.207834286,1.6,0.085714286,0.085247143,0.042237143,0.032976,0.018638,7,35,56,40,,,,,,,,,,,58.64333333,,340,,161.0095127,,,,,,,,,,,,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doliocarpus,olivaceus,Dilleniaceae,Climber,Climber,DOLIOL,0.474305882,0.425089744,,0.020718134,1,5,,3.690696,0.611324,1.72,0,0.158217,0.095922,0.088704,0.053125,5,25,65,65,,,,,,,,,,,55.27638889,,202.6388889,53.60755226,61.59993612,54.60557418,0.277605657,0.311375033,7.557714901,,7.510537864,,1.711303978,,,,6,0,6,1,5,1,1,1,114.8358333,,229.1666667,71.78579456,77.85762579,75.01209103,0.314400845,0.360214754,31.45471417,,8.122328621,3.678886184,1.579366303,1.624966271,0.021587241,0.011485407,4,0,4,4,4,4,4,4,440.85,3254.45,15.79594357,415.343001,6,6,,,,,,,,,,
Drypetes,standleyi,Euphorbiacea,T,T,DRYPST,0.661139098,0.617793046,0.03441605,0.050645583,5,2,0.675288,3.75148,0.951972,1,0,0.40718,0.1707065,0.17130375,0.067596,5,25,87,87,,517,28.72238366,6.57985119,33.22448896,1.627614361,0.374455113,6,6,6,26.69555556,,220,98.29924328,101.4009758,98.72389945,0.449530777,0.415954501,3.168002837,,2.545875386,8.436432585,8.292872075,7.896796707,0.042705009,0.021059492,3,0,3,3,3,3,3,3,36.03047619,,214.8809524,80.14642135,81.31421889,77.2842139,0.370131141,0.37520127,3.46763169,,7.775854151,6.663387301,6.700045563,7.344482061,0.0211324,0.010504014,7,0,7,7,7,7,7,7,644.825,4869.275,36.81363708,271.9903308,16,16,1.658576962,6971,1.199152843,1917,1.008587793,1196,1.183155351,9868,0.737786552,1279
Duguetia,confusa,Annonaceae,T,T,DUGUCO,0.698982397,0.683095492,0.022422766,0.023070881,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dussia,atropurpurea,Fabaceae:Pap,T,T,DUSSAT,0.61689741,0.597088863,0.023465847,0.02530455,5,5,,16.39673,4.780746667,1.083333333,0,7.646024167,2.468325,4.9916425,1.976140833,3,10,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elaeagia,auriculata,Rubiaceae,U,U,ELA1AU,0.425893763,0.418232934,0.023703999,0.022944156,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elaeis,oleifera,Arecaceae,U,U,ELAEOL,,,,,,,,,,,,,,,,,,,,2.507,412.2,2.888,5.5243,17.45966781,0.351857926,0.423921672,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.546466019,103
Enterolobium,cyclocarpum,Fabaceae:Mim,T,T,ENTECY,0.385784092,0.377025299,0.021853579,0.023809799,6,6,,31.97561,26.81350867,11.3,2.016666667,0.85217375,0.7509175,0.435136667,0.390457083,4,18,70,70,0.545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterolobium,schomburgkii,Fabaceae:Mim,T,T,ENTESC,0.647725531,0.635958549,0.020845187,0.020771069,10,10,0.686758,8.7584,7.7835,21.14285714,0.428571429,0.074914286,0.067264286,0.0951,0.04415,1,7,28,8,,144,15.23395535,2.89775,42.4625325,1.922321415,0.604932124,6,6,5,183.525,46.5,,,111.9712169,86.12547214,,0.440144384,,,,,,,,,1,1,0,0,1,1,0,1,83.06,58,,,276.1880212,236.1548622,,0.379925201,,,,,,,,,1,1,0,0,1,1,0,1,,,,,,,3.723096774,31,1.702444444,18,2.9495,10,0.396981132,53,0,11
Erblichia,odorata,Turneraceae,T,T,ERBLOD,0.558025281,0.548275159,0.020376319,0.020091279,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erythrina,costaricensi,Fabaceae:Pap,U,U,ERY1CO,0.506697406,0.500062845,0.01339594,0.012575396,5,5,,,,,,,,,,,,,,,121.5,9.4175,1.757901786,8.68427698,0.405840178,0.407094833,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,570.18625,3,135,19.38637896,25.82765464,20.77992099,0.145903281,0.176989917,77.55083138,0,12.11919964,1.272730013,2.00275057,1.229790807,0.006672317,0.006650225,4,4,4,4,4,4,4,4,,,,,,,1.303726852,216,0.72294822,309,0.484629921,127,5.917048346,786,3.977074713,174
Erythroxylum,citrifolium,Erythroxylac,U,U,ERY2CI,0.713765938,0.702622677,0.042674084,0.041704216,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
