SP4$,SP6$,FAMILY$,GENUS$,SPECIES$,OLDNAME$,CLIMBER$,FREE$,LIANA$,VINE$,SHRUB$,UNDERSTORY$,MIDSTORY$,TREE$,HERB$,EPIPHYTE$,HEMIEPIPHYT$,PARASITE$,FRUIT_FRSH,FRUIT_DRY,N_SEEDFULL,N_SEEDEMPTY,DSPR_FRESH,DSPR_DRY,SEED_FRESH,SEED_DRY,N_INDS,N_FRUIT,N_DIASPORE,N_SEEDS,DAWS_DSPRDRY
CECI,CECRIN,Cecropiaceae,Cecropia,insignis,Cecropia exi,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,,,,,,,,,0.0005
CECL,CECRLO,Cecropiaceae,Cecropia,longipes,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,,,,,,,,,0.0007
CECO,CECROB,Cecropiaceae,Cecropia,obtusifolia,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.96315,0.63715,353,741,0.0012575,0.00053,0.00011,0.00009,1,2,2,1,0.0005
CECP,CECRPE,Cecropiaceae,Cecropia,peltata,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,,,,,,,,,0.0006
CEDO,CEDROD,Meliaceae,Cedrela,odorata,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.09182,2.23971,32.1,36.3,0.0265075,0.01288,0.01417875,0.00659,2,10,40,40,0.011
CEIP,CEIBPE,Bombacaceae,Ceiba,pentandra,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,0.0485625,0.042475,0.0272625,0.023525,2,0,8,8,0.055
CELI,CELTIG,Ulmaceae,Celtis,iguanaeus,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.7105,0.31335,1,0,0.15715,0.1158,0.031,0.024075,1,4,4,4,0.106
CENP,,Fabaceae-Pap,Centrosema, pubescens,,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.718828,0.584156,19.36,2,0.018423,0.014856,0.014144,0.011544,5,25,100,100,
CEPL,,,,,,,,,,,,,,,,,,0.96867,0.721865,10.2,9.65,0.02203875,0.01768625,0.0170175,0.0137975,4,16,58,58,
CERT,CERATE,Bignoniaceae,Ceratophytum,tetragonolob,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,123.0408,114.5,165,0,0.055078889,0.048269444,0.033004815,0.029554259,3,1,23,23,
CES1,CESPMA,Ochnaceae,Cespedesia,spathulata,Cespedezia m,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.66175,0.433115,80.25,0,0.000284625,0.000220185,0.000192,0.000144,2,4,26,10,0.0002
CES2,CESTME,Solanaceae,Cestrum,megalophyllu,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.230268,0.033132,1.16,0.2,0.03508,0.01268,0.025458,0.014222,5,25,29,29,
CHAW,CHA1TE,Arecaceae,Chamaedorea,tepejilote,Chamaedorea,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.88196125,0.40543875,1,0,0.58811625,0.35095125,0.5209075,0.33497875,4,19,19,19,0.15
CHOP,CHOMPS,Rubiaceae,Chomelia,psilocarpa,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.31023,0.3157,1,,0.34782,0.15959,0.00569,0.00393,2,10,10,10,
CHOT,CHONTO,Menispermace,Chondrodendr,tomentosum,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.68344,0.55372,1,0,0.80228,0.2607,0.22232,0.06474,1,5,5,5,
CHRA,CHR2AR,Sapotaceae,Chrysophyllu,argenteum,Chrysophyllu,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,12.18162,3.35977,3.5,0,0.338810833,0.142091667,0.195941667,0.082085,2,6,14,14,
CHRC,CHR2CA,Sapotaceae,Chrysophyllu,cainito,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,34.820146,10.144004,3.56,0.68,0.437715917,0.2310245,0.27280975,0.12636825,5,20,59,59,0.21
CHRO,CHR4OD,Asteraceae,Chromolaena,odorata,,NA,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,,,,,,,,,0.0002
CISE,CISSER,Vitaceae,Cissus,erosa,,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.268482,0.031832,1,0,0.028824,0.019062,0.012886,0.0097,5,45,45,45,
CIST,,Menispermace,Cissampelos,tropaeolifol,Cissampelos,1.000000,NA,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.202626667,0.029233333,1,,0.04736,0.017513333,0.007906667,0.005973333,3,15,15,15,
CLI1,CLIDCA,Melastomatac,Clidemia,capitellata,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,,,,,,,,,0.00002
CLID,CLIDDE,Melastomatac,Clidemia,dentata,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,,,,,,,,,0.00002
CLIJ,CLITJA,Fabaceae,Clitoria,javitensis,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,18.16144,12.5311,9.2,1.5,0.59008,0.38273,0.53039,0.343145,2,10,40,40,0.483
CLIO,CLIDOC,Melastomatac,Clidemia,octona,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,,,,,,,,,0.00001
CLIS,CLIDSE,Melastomatac,Clidemia,septuplinerv,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,,,,,,,,,0.00002
CLU?,,,,,,,,,,,,,,,,,,92.315,24.5007,341,26,0.018325,0.00765,0.008225,0.00545,1,1,4,4,
CLUM,,Clusiaceae,Clusia,minor,,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,32.27904,12.08244,173.2,0.6,0.016785,0.01087,0.00902,0.00882,1,5,20,20,
CLUO,,Clusiaceae,Clusia,odorata,,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,9.21,2.7718,99.6,0,0.0082,0.00595,,,1,5,20,0,
CLUU,,Clusiaceae,Clusia,uvitana,,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,19.1469,5.684566667,224.6666667,10,0.018258333,0.005283333,0.006116667,0.0041,1,3,12,12,
CLUV,CLUSVA,Clusiaceae,Clusia,valerioi,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,25.27202,9.21697,96.1,0.3,0.04243,0.0158975,0.022735,0.01161,2,6,24,24,
CNER,CNESRU,Connaraceae,Cnestidium,rufescens,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.636535,0.24123,1,0,0.2894475,0.0920975,0.1913825,0.0557575,4,25,25,25,
COC2,COCCA2,Polygonaceae,Coccoloba,acuminata,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.1791,0.033384,1,,0.028992,0.018768,0.023624,0.015028,5,25,25,25,
COCC,COCCCO,Polygonaceae,Coccoloba,coronata,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.99057,0.3192,1,,0.24695,0.13439,0.13656,0.06234,2,10,10,10,
COCM,COCCMA,Polygonaceae,Coccoloba,manzinellens,Coccoloba ma,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.201668,0.04068,1,0,0.051568,0.029872,0.028504,0.01882,5,25,25,25,
COCP,COCCP1,Polygonaceae,Coccoloba,parimensis,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.47058,0.1543,1,0,0.16298,0.065073333,0.088486667,0.038033333,3,15,15,15,
COCV,COCHVI,Cochlosperma,Cochlospermu,vitifolium,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,12.89747556,9.396335,201.6888889,7.25,0.033068056,0.0222875,0.01383,0.009848611,3,12,48,48,0.026
CODC,,Gesneriaceae,Codonanthe,crassifolia,,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.4938,0.0311,12,,0.001225,0.0001,0.000225,,1,1,2,0,
CODU,,Gesneriaceae,Codonanthe,uleana,,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.545699048,0.117595238,39.14285714,1.304761905,0.005013878,0.003847822,0.0051675,0.004348393,3,17,53,48,
COMC,COMBCA,Combretaceae,Combretum,cacoucia,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.316068,0.832184,1,,1.40302,0.528552,1.323884,0.504148,5,25,25,25,
COMD,COMBDE,Combretaceae,Combretum,decandrum,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.02883,0.0244,1,,0.015098,0.012142,0.0093,0.007898,5,16,26,26,
COMF,COMBFR,Combretaceae,Combretum,fruticosum,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,0.09184,0.0804,0.04196,0.03716,1,,10,10,
COML,COMBLA,Combretaceae,Combretum,laxum,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.144435,0.096625,1,0,0.082216667,0.055566667,0.043033333,0.0315,3,15,20,25,
CON1,CONOSP,Melastomatac,Conostegia,speciosa,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,,,,,,,,,0.0001
CONP,CONNPA,Connaraceae,Connarus,panamensis,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.04938,0.95522,1,0,0.85638,0.47196,0.61035,0.38347,2,10,10,10,0.294
CONT,CONNTU,Connaraceae,Connarus,turczaninowi,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.482432222,0.569064444,1,0,0.53631463,0.276710667,0.480704,0.263187556,6,44,39,39,0.405
CORA,CORDAL,Boraginaceae,Cordia,alliodora,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.014392,0.011164,1,0,0.010126667,0.007966667,0.006928333,0.005605,6,25,35,35,0.006
CORB,CORDBI,Boraginaceae,Cordia,bicolor,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.672855,0.22452,1,0,0.156991667,0.11114625,0.029638333,0.01621625,4,17,17,17,
CORL,CORDLA,Boraginaceae,Cordia,lasiocalyx,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.83747,0.2467575,1,0,0.28578,0.144328333,0.055647,0.044369,6,49,49,24,
CORP,CORDPA,Boraginaceae,Cordia,panamensis,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,,,,,,,,,0.059
CORS,CORDSP,Boraginaceae,Cordia,spinescens,,NA,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,,,,,,,,,0.011
COS2,,Costaceae,Costus,speciosus,,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,2.5244,1.040553333,50.46666667,1,0.018388333,0.012286667,0.011328333,0.009001667,3,15,60,60,
COSS,COSMGR,Rubiaceae,Cosmibuena,grandiflora,Cosmibuena s,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.81142,0.46066,458.2,1.6,0.000154844,0.0001,,,1,5,1,0,
COUC,COU2CU,Rubiaceae,Coussarea,curvigemmia,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.627166,0.15639,1,0,0.262528,0.104748,0.168604,0.073812,5,22,22,22,
COUH,COUTHE,Rubiaceae,Coutarea,hexandra,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,,,,,,,,,0.005
COUM,,Cecropiaceae,Coussapoa,asperifolia,Coussapoa ma,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,22.2968,7.2849,1.129,,0.00165,0.000625,0.00055,0.00025,1,1,4,2,0.002
CRES,MALMSP,Annonaceae,Mosannona,garwoodii,Cremastosper,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.7773,0.3537,1,0,0.427255556,0.2712,0.340211111,0.217433333,1,5,9,9,
CRYW,CRYOWA,Arecaceae,Cryosophila,warscewiczii,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.321088,1.74208,1,,2.007664,1.06418,1.836824,0.978524,5,25,25,25,
CUEK,CUERKA,Hippocrateac,Cuervea,kappleriana,,1.000000,NA,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,43.10545,17.2226,4,,8.3198125,3.43995,6.918475,2.8332,1,2,8,8,
CUPC,CUPACI,Sapindaceae,Cupania,cinerea,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.81853,2.66731,2.5,0,0.650051667,0.356448333,0.503835,0.265205,2,10,25,25,0.51
CUPL,CUPALA,Sapindaceae,Cupania,latifolia,Cupania papi,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.35472,0.57862,2.2,0,0.251953333,0.12613,0.18114,0.086303333,1,5,11,11,
CUPR,CUPARU,Sapindaceae,Cupania,rufescens,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.879767037,0.898965185,2.133333333,0.718518519,0.444165926,0.227695247,0.602953333,0.139102222,3,20,43,27,
CUPS,CUPASY,Sapindaceae,Cupania,seemannii,Cupania seem,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.887884,0.47078,1.48,0.92,0.353484667,0.221722,0.237644,0.120431333,5,25,37,37,
CYDA,CYDIAE,Bignoniaceae,Cydista,aequinoctial,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,35.40625,20.46935,26.08333333,8.5,0.258598611,0.147428889,0.127636111,0.076437222,3,8,42,42,0.112
CYML,CYM1LA,Annonaceae,Cymbopetalum,lanugipetalu,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.59758,0.28802,1,0,0.38916,0.24216,0.3678,0.22806,1,5,5,5,
CYMR,CYMBRO,Fabaceae:fab,Cymbosema,roseum,Cymbosema ro,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,12.45754,9.55629,5.1,0,0.776435,0.566915,0.65233,0.500355,2,10,38,38,
DALC,DALECI,Euphorbiacea,Dalechampia,cissifolia,,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.6344,0.4295,2,1,0.06005,0.0489,0.03765,0.0302,1,1,2,2,
DALD,DALEDI,Euphorbiacea,Dalechampia,dioscoreifol,,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,3.4,,0.06378,0.05527,0.03996,0.035235,1,0,17,17,
DALR,DALBRE,Fabaceae:Pap,Dalbergia,retusa,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,,,,,,,,,0.13
DASS,,,,,,,,,,,,,,,,,,1.67518,0.0798,1,0,0.31554,0.03018,0.00662,0.00138,1,5,5,5,
DAVN,DAVINI,Dilleniaceae,Davilla,nitida,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.12688,0.053026667,1,0,0.05288,0.0272,0.0278,0.01248,3,15,15,15,
DENA,DENDAR,Araliaceae,Dendropanax,arboreus,Dendropanax,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.2872825,0.0902625,3.975,1.075,0.019115833,0.00997,0.01528,0.006565556,4,35,106,29,0.008
DESA,DESMAX,Fabaceae-Pap,Desmodium,axillare,,1.000000,NA,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.05048,0.029713333,2,,0.018223333,0.010013333,0.016336667,0.009363333,3,15,30,30,
DESC,,Fabaceae-Pap,Desmodium,incanum,,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.023145,0.015768,4,1.866666667,0.003548167,0.0021725,0.002171167,0.001406333,5,24,80,80,
DESH,DESMHE,Fabaceae-Pap,Desmodium,heterocarpon,,1.000000,NA,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.023448,0.014284,5.4,1,0.003285,0.001615,0.001817333,0.001026333,5,25,97,97,
DESI,DES1OR,Arecaceae,Desmoncus,orthacanthos,Desmoncus is,1.000000,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.270394,0.491848,1,0,0.610126,0.365382,0.42134,0.24786,5,40,40,40,
DESP,DES2PA,Annonaceae,Desmopsis,panamensis,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.062733639,0.892389806,4.916666667,0.54,0.233382891,0.131922102,0.180868261,0.108016746,10,61,233,139,
DESS,,,,,,,,,,,,,,,,,,0.43284,0.3792,7,0.2,0.02262,0.020355,0.01397,0.01294,1,5,20,20,
DIAG,DIALGU,Fabaceae:Cae,Dialium,guianense,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.62758,0.44289,1,0,0.26231,0.2018,0.13039,0.09508,2,10,10,10,
DICH,,Commelinacea,Dichorisandr,hexandra,,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.211,0.0985,6,0,0.0186,0.013825,0.012375,0.01035,1,1,4,4,
DIOG,DIOCGU,Fabaceae,Dioclea,guianensis,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,11.5047,2.0455,5,0,0.691975,0.511375,0.597425,0.446725,1,1,4,4,0.072
DIOR,DIOCRE,Fabaceae,Dioclea,reflexa,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.500948,0.934232,3.56,0.333333333,0.277116667,0.155663,0.218942,0.119045333,5,25,86,86,4.013
DIOU,DIO1UR,Dioscoreacea,Dioscorea,urophylla,,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.26095,0.225795,3.1,1,0.020613333,0.01749,0.01733,0.0151175,2,7,21,21,
DIOW,DIOCWI,Fabaceae,Dioclea,wilsonii,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,36.00404,29.112704,2.32,0.6,6.736360333,5.628548,3.898873,3.333051333,5,25,57,56,
DIPP,DIPTPA,Fabaceae:Pap,Dipteryx,oleifera,Dipteryx pan,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,23.94240078,17.77074844,1,0,16.03679484,13.07222492,1.887605714,1.256587143,9,55,46,30,6.127
DOL1,DOLIMA,Dilleniaceae,Doliocarpus,major,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.872164545,0.225327273,1.854545455,0.072727273,0.106789545,0.052291591,0.04647,0.032182222,11,70,130,85,
DOL2,DOLIMU,Dilleniaceae,Doliocarpus,multiflorus,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.865537143,0.207834286,1.6,0.085714286,0.085247143,0.042237143,0.032976,0.018638,7,35,56,40,
